Description,Destination,Date,Hotel Stars,Room,Feeding,Nights,Price
Trumpas pabėgimas į Vieną: apsistokite 3★ viešbutyje Hotel Mozart su pusryčiais,"Viena, Austrija",2024-03-26,3,Double Room,Su pusryčiais,2,189
Trumpas pabėgimas į Vieną: apsistokite 3★ viešbutyje Hotel Mozart su pusryčiais,"Viena, Austrija",2024-03-26,3,Twin/double Room,Su pusryčiais,2,189
Trumpas pabėgimas į Vieną: apsistokite 3★ viešbutyje Hotel Mozart su pusryčiais,"Viena, Austrija",2024-03-26,3,Standard Double / Twin Room - Breakfast,Kontinentiniai pusryčiai,2,190
