Description,Destination,Date,Travel Transport,Hotel Stars,Room,Feeding,Nights,Price
Sunrise Garden Beach Resort -Select-,"Hurgada., Hurgada, Egiptas",2024-02-06,Skrydis su bagažu,5.0,Superior Garden or Pool View tipo kambarys,Viskas įskaičiuota,4,746.00
Sunrise Garden Beach Resort -Select-,"Hurgada., Hurgada, Egiptas",2024-02-06,Skrydis su bagažu,5.0,Deluxe Garden View tipo kambarys,Viskas įskaičiuota,4,770.00
Sunrise Garden Beach Resort -Select-,"Hurgada., Hurgada, Egiptas",2024-02-06,Skrydis su bagažu,5.0,Deluxe Side Sea View tipo kambarys,Viskas įskaičiuota,4,786.00
Sunrise Garden Beach Resort -Select-,"Hurgada., Hurgada, Egiptas",2024-02-06,Skrydis su bagažu,5.0,Superior Garden or Pool View tipo kambarys,Viskas įskaičiuota,7,809.00
Sunrise Garden Beach Resort -Select-,"Hurgada., Hurgada, Egiptas",2024-02-06,Skrydis su bagažu,5.0,Family Bunkbed tipo kambarys,Viskas įskaičiuota,4,810.00
Savaitgalis Paryžiuje,Prancūzija,2024-02-16,Skrydis,,Standartinis kambarys (Dvivietis kambarys su dvigule lova),Viskas įskaičiuota,3,746.10
Savaitgalis Paryžiuje,Prancūzija,2024-02-16,Skrydis,,Standartinis kambarys (Dvivietis kambarys su atskiromis lovomis),Viskas įskaičiuota,3,746.10
Caves Beach Resort,"Hurgada., Hurgada, Egiptas",2024-02-10,Skrydis su bagažu,5.0,Standard Pool View tipo kambarys,Viskas įskaičiuota,3,749.00
Caves Beach Resort,"Hurgada., Hurgada, Egiptas",2024-02-10,Skrydis su bagažu,5.0,Deluxe Pool View tipo kambarys,Viskas įskaičiuota,3,755.00
Caves Beach Resort,"Hurgada., Hurgada, Egiptas",2024-02-13,Skrydis su bagažu,5.0,Standard Pool View tipo kambarys,Viskas įskaičiuota,4,785.00
Caves Beach Resort,"Hurgada., Hurgada, Egiptas",2024-02-13,Skrydis su bagažu,5.0,Deluxe Pool View tipo kambarys,Viskas įskaičiuota,4,789.00
Caves Beach Resort,"Hurgada., Hurgada, Egiptas",2024-02-20,Skrydis su bagažu,5.0,Standard Pool View tipo kambarys,Viskas įskaičiuota,9,805.00
Naama Bay Promenade Resort (Mountain Side),"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Standard Garden View tipo kambarys,Viskas įskaičiuota,3,749.00
Naama Bay Promenade Resort (Mountain Side),"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Standard Pool View tipo kambarys,Viskas įskaičiuota,3,759.00
Naama Bay Promenade Resort (Mountain Side),"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Standard Garden View tipo kambarys,Viskas įskaičiuota,7,1005.00
Naama Bay Promenade Resort (Mountain Side),"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Standard Pool View tipo kambarys,Viskas įskaičiuota,7,1025.00
Naama Bay Promenade Resort (Mountain Side),"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Standard Garden View tipo kambarys,Viskas įskaičiuota,1,1045.00
Tamra Beach Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Superior tipo kambarys,Viskas įskaičiuota,3,749.00
Tamra Beach Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Superior Pool View tipo kambarys,Viskas įskaičiuota,3,765.00
Tamra Beach Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Superior Sea View tipo kambarys,Viskas įskaičiuota,3,779.00
Tamra Beach Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Family tipo kambarys,Viskas įskaičiuota,3,799.00
Tamra Beach Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Junior Suite tipo kambarys,Viskas įskaičiuota,3,815.00
Naama Waves Hotel,"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Standartinis kambarys,Viskas įskaičiuota,3,755.00
Naama Waves Hotel,"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Family tipo kambarys,Viskas įskaičiuota,3,805.00
Naama Waves Hotel,"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Standartinis kambarys,Viskas įskaičiuota,7,1019.00
Naama Waves Hotel,"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Standartinis kambarys,Viskas įskaičiuota,1,1069.00
Naama Waves Hotel,"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Family tipo kambarys,Viskas įskaičiuota,7,1135.00
Pickalbatros Laguna Club Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Standard Garden View tipo kambarys,Viskas įskaičiuota,3,755.00
Pickalbatros Laguna Club Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Standard Pool View tipo kambarys,Viskas įskaičiuota,3,769.00
Pickalbatros Laguna Club Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Bungalow tipo kambarys,Viskas įskaičiuota,3,785.00
Pickalbatros Laguna Club Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Bungalow Pool View tipo kambarys,Viskas įskaičiuota,3,835.00
Pickalbatros Laguna Club Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Standard Garden View tipo kambarys,Viskas įskaičiuota,7,985.00
Steigenberger Pure Lifestyle,"Hurgada., Hurgada, Egiptas",2024-02-03,Skrydis su bagažu,5.0,Standard Suite tipo kambarys,Viskas įskaičiuota,3,755.00
Steigenberger Pure Lifestyle,"Hurgada., Hurgada, Egiptas",2024-02-03,Skrydis su bagažu,5.0,Jacuzzi Suite tipo kambarys,Viskas įskaičiuota,3,785.00
Steigenberger Pure Lifestyle,"Hurgada., Hurgada, Egiptas",2024-02-03,Skrydis su bagažu,5.0,Swim-Up Suite tipo kambarys,Viskas įskaičiuota,3,915.00
Steigenberger Pure Lifestyle,"Hurgada., Hurgada, Egiptas",2024-02-03,Skrydis su bagažu,5.0,Standard Suite tipo kambarys,Viskas įskaičiuota,3,969.00
Steigenberger Pure Lifestyle,"Hurgada., Hurgada, Egiptas",2024-02-03,Skrydis su bagažu,5.0,Jacuzzi Suite tipo kambarys,Viskas įskaičiuota,3,999.00
Xperience Kiroseiz Parkland,"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Standartinis kambarys,Viskas įskaičiuota,3,755.00
Xperience Kiroseiz Parkland,"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Family 1 Bedroom tipo kambarys,Viskas įskaičiuota,3,775.00
Xperience Kiroseiz Parkland,"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Deluxe tipo kambarys,Viskas įskaičiuota,3,779.00
Xperience Kiroseiz Parkland,"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Superior tipo kambarys,Viskas įskaičiuota,3,785.00
Xperience Kiroseiz Parkland,"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Family 2 Bedrooms tipo kambarys,Viskas įskaičiuota,3,789.00
Aurora Oriental Resort Sharm El Sheikh,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Standard Garden View tipo kambarys,Viskas įskaičiuota,3,765.00
Aurora Oriental Resort Sharm El Sheikh,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Standard Pool View tipo kambarys,Viskas įskaičiuota,3,775.00
Aurora Oriental Resort Sharm El Sheikh,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Standartinis kambarys,Viskas įskaičiuota,3,785.00
Aurora Oriental Resort Sharm El Sheikh,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Deluxe Garden View tipo kambarys,Viskas įskaičiuota,3,789.00
Aurora Oriental Resort Sharm El Sheikh,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Deluxe Pool View tipo kambarys,Viskas įskaičiuota,3,799.00
Amphoras Beach (ex. Amphoras Resort),"Hadaba, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior Garden View tipo kambarys,Viskas įskaičiuota,3,765.00
Amphoras Beach (ex. Amphoras Resort),"Hadaba, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior Pool View tipo kambarys,Viskas įskaičiuota,3,779.00
Amphoras Beach (ex. Amphoras Resort),"Hadaba, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior Sea View tipo kambarys,Viskas įskaičiuota,3,795.00
Amphoras Beach (ex. Amphoras Resort),"Hadaba, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Family tipo kambarys,Viskas įskaičiuota,3,809.00
Amphoras Beach (ex. Amphoras Resort),"Hadaba, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior Garden View tipo kambarys,Viskas įskaičiuota,7,1035.00
Coral Sea Aqua Club Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Standard Garden or Pool View tipo kambarys,Viskas įskaičiuota,3,765.00
Coral Sea Aqua Club Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Family tipo kambarys,Viskas įskaičiuota,3,799.00
Coral Sea Aqua Club Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Family Swim-Up tipo kambarys,Viskas įskaičiuota,3,805.00
Coral Sea Aqua Club Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Kids Den tipo kambarys,Viskas įskaičiuota,3,815.00
Coral Sea Aqua Club Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Family Suite tipo kambarys,Viskas įskaičiuota,3,929.00
Rixos Premium Magawish,"Hurgada., Hurgada, Egiptas",2024-02-03,Skrydis su bagažu,5.0,Suite Garden View tipo kambarys,Viskas įskaičiuota,3,765.00
Rixos Premium Magawish,"Hurgada., Hurgada, Egiptas",2024-02-03,Skrydis su bagažu,5.0,Suite Sea View tipo kambarys,Viskas įskaičiuota,3,835.00
Rixos Premium Magawish,"Hurgada., Hurgada, Egiptas",2024-02-10,Skrydis su bagažu,5.0,Suite Garden View tipo kambarys,Viskas įskaičiuota,3,1015.00
Rixos Premium Magawish,"Hurgada., Hurgada, Egiptas",2024-02-03,Skrydis su bagažu,5.0,Superior Suite tipo kambarys,Viskas įskaičiuota,3,1029.00
Rixos Premium Magawish,"Hurgada., Hurgada, Egiptas",2024-02-03,Skrydis su bagažu,5.0,Lagoon Deluxe Suite tipo kambarys,Viskas įskaičiuota,3,1029.00
Renaissance Sharm El Sheikh Golden View Beach Resort,"Hadaba, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Premium Sea View tipo kambarys,Viskas įskaičiuota,3,765.00
Renaissance Sharm El Sheikh Golden View Beach Resort,"Hadaba, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Premium Sea View tipo kambarys,Viskas įskaičiuota,3,775.00
Renaissance Sharm El Sheikh Golden View Beach Resort,"Hadaba, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Premium Sea View tipo kambarys,Viskas įskaičiuota,3,779.00
Renaissance Sharm El Sheikh Golden View Beach Resort,"Hadaba, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Standard Garden View tipo kambarys,Viskas įskaičiuota,3,779.00
Renaissance Sharm El Sheikh Golden View Beach Resort,"Hadaba, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Premium Sea View tipo kambarys,Viskas įskaičiuota,7,1015.00
Jaz Makadi Star & Spa,"Madinat Makadis, Hurgada, Egiptas",2024-02-06,Skrydis su bagažu,5.0,Family Garden View tipo kambarys,Viskas įskaičiuota,4,770.00
Jaz Makadi Star & Spa,"Madinat Makadis, Hurgada, Egiptas",2024-02-06,Skrydis su bagažu,5.0,Superior Pool View tipo kambarys,Viskas įskaičiuota,4,770.00
Jaz Makadi Star & Spa,"Madinat Makadis, Hurgada, Egiptas",2024-02-10,Skrydis su bagažu,5.0,Superior Garden View tipo kambarys,Viskas įskaičiuota,3,785.00
Jaz Makadi Star & Spa,"Madinat Makadis, Hurgada, Egiptas",2024-02-10,Skrydis su bagažu,5.0,Family Garden View tipo kambarys,Viskas įskaičiuota,3,809.00
Jaz Makadi Star & Spa,"Madinat Makadis, Hurgada, Egiptas",2024-02-10,Skrydis su bagažu,5.0,Superior Pool View tipo kambarys,Viskas įskaičiuota,3,809.00
Sunrise Remal Resort,"Ras Nosranis, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Standard Mountain View tipo kambarys,Viskas įskaičiuota,3,775.00
Sunrise Remal Resort,"Ras Nosranis, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Standard Garden or Pool View tipo kambarys,Viskas įskaičiuota,3,779.00
Sunrise Remal Resort,"Ras Nosranis, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Family Bunkbed tipo kambarys,Viskas įskaičiuota,3,795.00
Sunrise Remal Resort,"Ras Nosranis, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Family tipo kambarys,Viskas įskaičiuota,3,819.00
Sunrise Remal Resort,"Ras Nosranis, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Standard Mountain View tipo kambarys,Viskas įskaičiuota,7,1065.00
Xperience Sea Breeze Resort,"Šarks Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Standartinis kambarys,Viskas įskaičiuota,3,775.00
Xperience Sea Breeze Resort,"Šarks Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Standard Sea View tipo kambarys,Viskas įskaičiuota,3,809.00
Xperience Sea Breeze Resort,"Šarks Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Deluxe tipo kambarys,Viskas įskaičiuota,3,839.00
Xperience Sea Breeze Resort,"Šarks Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Standartinis kambarys,Viskas įskaičiuota,7,1035.00
Xperience Sea Breeze Resort,"Šarks Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Standard Sea View tipo kambarys,Viskas įskaičiuota,7,1109.00
Magic World Sharm,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior Garden View tipo kambarys,Viskas įskaičiuota,3,779.00
Magic World Sharm,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Deluxe Garden View tipo kambarys,Viskas įskaičiuota,3,829.00
Magic World Sharm,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior Garden View tipo kambarys,Viskas įskaičiuota,7,1079.00
Magic World Sharm,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior Garden View tipo kambarys,Viskas įskaičiuota,1,1155.00
Magic World Sharm,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Deluxe Garden View tipo kambarys,Viskas įskaičiuota,7,1195.00
Naama Bay Promenade Resort (Beach Side),"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Standard Beach Garden View tipo kambarys,Viskas įskaičiuota,3,779.00
Naama Bay Promenade Resort (Beach Side),"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Standard Pool View tipo kambarys,Viskas įskaičiuota,3,799.00
Naama Bay Promenade Resort (Beach Side),"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Standard Sea View tipo kambarys,Viskas įskaičiuota,3,815.00
Naama Bay Promenade Resort (Beach Side),"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Standard Beach Garden View tipo kambarys,Viskas įskaičiuota,7,1049.00
Naama Bay Promenade Resort (Beach Side),"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Standard Pool View tipo kambarys,Viskas įskaičiuota,7,1089.00
Novotel Palm,"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior tipo kambarys,Viskas įskaičiuota,3,779.00
Novotel Palm,"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Family tipo kambarys,Viskas įskaičiuota,3,815.00
Novotel Palm,"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior Pool View tipo kambarys,Viskas įskaičiuota,3,815.00
Novotel Palm,"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior tipo kambarys,Viskas įskaičiuota,7,1079.00
Novotel Palm,"Naama Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior tipo kambarys,Viskas įskaičiuota,1,1155.00
Jaz Mirabel Beach,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Standartinis kambarys,Viskas įskaičiuota,3,789.00
Jaz Mirabel Beach,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior tipo kambarys,Viskas įskaičiuota,3,825.00
Jaz Mirabel Beach,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior Pool View tipo kambarys,Viskas įskaičiuota,3,839.00
Jaz Mirabel Beach,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Deluxe Garden View tipo kambarys,Viskas įskaičiuota,3,839.00
Jaz Mirabel Beach,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Deluxe Pool View tipo kambarys,Viskas įskaičiuota,3,859.00
Steigenberger Resort Ras Soma,"Soma Bėjus, Hurgada, Egiptas",2024-02-03,Skrydis su bagažu,5.0,Superior Side Sea View tipo kambarys,Viskas įskaičiuota,3,789.00
Steigenberger Resort Ras Soma,"Soma Bėjus, Hurgada, Egiptas",2024-02-03,Skrydis su bagažu,5.0,Superior Pool View tipo kambarys,Viskas įskaičiuota,3,809.00
Steigenberger Resort Ras Soma,"Soma Bėjus, Hurgada, Egiptas",2024-02-03,Skrydis su bagažu,5.0,Superior Grand Side Sea View tipo kambarys,Viskas įskaičiuota,3,819.00
Steigenberger Resort Ras Soma,"Soma Bėjus, Hurgada, Egiptas",2024-02-03,Skrydis su bagažu,5.0,Family Deluxe tipo kambarys,Viskas įskaičiuota,3,859.00
Steigenberger Resort Ras Soma,"Soma Bėjus, Hurgada, Egiptas",2024-02-03,Skrydis su bagažu,5.0,Grand Superior Sea View tipo kambarys,Viskas įskaičiuota,3,899.00
Alua Tenerife ex.Turquesa Playa,"Puerto de la Krusas, Tenerifė, Kanarų Salos",2024-02-05,Skrydis su bagažu,4.0,Standartinis kambarys,Viskas įskaičiuota,4,795.00
Alua Tenerife ex.Turquesa Playa,"Puerto de la Krusas, Tenerifė, Kanarų Salos",2024-02-05,Skrydis su bagažu,4.0,Standartinis kambarys,Viskas įskaičiuota,4,839.00
Alua Tenerife ex.Turquesa Playa,"Puerto de la Krusas, Tenerifė, Kanarų Salos",2024-02-05,Skrydis su bagažu,4.0,1 Bedroom Suite tipo kambarys,Viskas įskaičiuota,4,845.00
Alua Tenerife ex.Turquesa Playa,"Puerto de la Krusas, Tenerifė, Kanarų Salos",2024-02-05,Skrydis su bagažu,4.0,Club Family tipo kambarys,Viskas įskaičiuota,4,859.00
Alua Tenerife ex.Turquesa Playa,"Puerto de la Krusas, Tenerifė, Kanarų Salos",2024-02-09,Skrydis su bagažu,4.0,1 Bedroom Suite tipo kambarys,Viskas įskaičiuota,3,869.00
Barcelo Tiran Sharm,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior tipo kambarys,Viskas įskaičiuota,3,795.00
Barcelo Tiran Sharm,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior Sea View tipo kambarys,Viskas įskaičiuota,3,809.00
Barcelo Tiran Sharm,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior Beach Front tipo kamabrys,Viskas įskaičiuota,3,819.00
Barcelo Tiran Sharm,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Family tipo kambarys,Viskas įskaičiuota,3,829.00
Barcelo Tiran Sharm,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Deluxe tipo kambarys,Viskas įskaičiuota,3,845.00
Gara Suites Golf & Spa,"Plaja de las Amerikasas, Tenerifė, Kanarų Salos",2024-02-09,Skrydis su bagažu,4.0,Garden or Pool View 1 Bdr Suite with Terrace t.k.,Viskas įskaičiuota,3,795.00
Gara Suites Golf & Spa,"Plaja de las Amerikasas, Tenerifė, Kanarų Salos",2024-02-09,Skrydis su bagažu,4.0,Bedroom Suite with Terrace Golf View tipo kamb.,Viskas įskaičiuota,3,819.00
Gara Suites Golf & Spa,"Plaja de las Amerikasas, Tenerifė, Kanarų Salos",2024-02-09,Skrydis su bagažu,4.0,Garden or Pool View 1 Bdr Suite with Terrace t.k.,Viskas įskaičiuota,3,839.00
Gara Suites Golf & Spa,"Plaja de las Amerikasas, Tenerifė, Kanarų Salos",2024-02-09,Skrydis su bagažu,4.0,Bedroom Suite with Terrace Golf View tipo kamb.,Viskas įskaičiuota,3,859.00
Gara Suites Golf & Spa,"Plaja de las Amerikasas, Tenerifė, Kanarų Salos",2024-02-09,Skrydis su bagažu,4.0,Garden or Pool View 1 Bdr Suite with Terrace t.k.,Viskas įskaičiuota,3,875.00
Jaz Belvedere,"Ras Nosranis, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior tipo kambarys,Viskas įskaičiuota,3,795.00
Jaz Belvedere,"Ras Nosranis, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior Family Garden View tipo kambarys,Viskas įskaičiuota,3,829.00
Jaz Belvedere,"Ras Nosranis, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior Family Pool View tipo kambarys,Viskas įskaičiuota,3,895.00
Jaz Belvedere,"Ras Nosranis, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior Sea View tipo kambarys,Viskas įskaičiuota,3,895.00
Jaz Belvedere,"Ras Nosranis, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior Family Sea View tipo kambarys,Viskas įskaičiuota,3,925.00
Cleopatra Luxury Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior Garden View tipo kambarys,Viskas įskaičiuota,3,799.00
Cleopatra Luxury Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior Pool View tipo kambarys,Viskas įskaičiuota,3,819.00
Cleopatra Luxury Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Superior Sea View tipo kambarys,Viskas įskaičiuota,3,829.00
Cleopatra Luxury Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Deluxe Garden View tipo kambarys,Viskas įskaičiuota,3,835.00
Cleopatra Luxury Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Deluxe Pool View tipo kambarys,Viskas įskaičiuota,3,839.00
Coral Sea Holiday Village Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Standard Garden or Pool View tipo kambarys,Viskas įskaičiuota,3,799.00
Coral Sea Holiday Village Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Standard Pool or Sea View tipo kambarys,Viskas įskaičiuota,3,815.00
Coral Sea Holiday Village Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Jacuzzi tipo kambarys,Viskas įskaičiuota,3,825.00
Coral Sea Holiday Village Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Swim-Up tipo kambarys,Viskas įskaičiuota,3,829.00
Coral Sea Holiday Village Resort,"Nabk Bėjus, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,5.0,Family tipo kambarys,Viskas įskaičiuota,3,839.00
Pickalbatros Albatros Sharm Resort (ex. Pickalbatros Beach Albatros Resort ),"Hadaba, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Standard Garden View tipo kambarys,Viskas įskaičiuota,3,799.00
Pickalbatros Albatros Sharm Resort (ex. Pickalbatros Beach Albatros Resort ),"Hadaba, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Standard Pool View tipo kambarys,Viskas įskaičiuota,3,815.00
Pickalbatros Albatros Sharm Resort (ex. Pickalbatros Beach Albatros Resort ),"Hadaba, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Standard Sea View tipo kambarys,Viskas įskaičiuota,3,829.00
Pickalbatros Albatros Sharm Resort (ex. Pickalbatros Beach Albatros Resort ),"Hadaba, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Family tipo kambarys,Viskas įskaičiuota,3,859.00
Pickalbatros Albatros Sharm Resort (ex. Pickalbatros Beach Albatros Resort ),"Hadaba, Šarm aš Šeichas, Egiptas",2024-02-18,Skrydis su bagažu,4.0,Family Sea View tipo kambarys,Viskas įskaičiuota,3,905.00
